ID,neighborhoodName
635nbr,Griesheim
636nbr,Großhettstedt
637nbr,Großliebringen
638nbr,Gösselborn
639nbr,Hammersfeld
640nbr,Hohes Kreuz
641nbr,Kleinhettstedt
642nbr,Kleinliebringen
643nbr,Nahwinden
644nbr,Niederwillingen
645nbr,Oberwillingen
646nbr,Oesteröda
647nbr,Singen
648nbr,Traßdorf
649nbr,Gemeinde Illerkirchberg
650nbr,Friedrichshagen
651nbr,Hilgendorf
652nbr,Meierstorf
653nbr,Naschendorf
654nbr,Plüschow
655nbr,Waldeck
656nbr,Herrmannsacker
657nbr,Harzungen
658nbr,Osterode
659nbr,Eddelsen
660nbr,Hollerberg
661nbr,Oberalting
662nbr,Schmidtner
663nbr,Gemeinde Aalen
664nbr,Hirzlei-Brauneberg
665nbr,Hirzlei
666nbr,Bugewitz
667nbr,Bugewitz I
668nbr,Kalkstein
669nbr,Kamp
670nbr,Lucienhof
671nbr,Bugewitz Gut
672nbr,Dorfchemnitz
673nbr,Voigtsdorf
674nbr,Wolfsgrund
675nbr,Herrenhof
676nbr,Kisserow
677nbr,Penkow
678nbr,Glasehausen
679nbr,Bischhagen
680nbr,Mengelrode
681nbr,Siemerode
682nbr,Streitholz
683nbr,Luckow
684nbr,Eigenrieden
685nbr,Stadtgebiet West
686nbr,Kuckuck
687nbr,Bernstein a.Wald
688nbr,Schwarzenbach a.Wald
689nbr,Schwieberdingen
690nbr,Hardthof
691nbr,Murr
692nbr,Dersewitz
693nbr,Leupoldsdorferhammer
694nbr,Haslhof
695nbr,Kothhof
696nbr,Geel
697nbr,Frankenroda
698nbr,Altlindenau
699nbr,Grünau-Mitte
700nbr,Engertsdorf
701nbr,Flemmingen
702nbr,Frohnsdorf
703nbr,Gähsnitz
704nbr,Jückelberg
705nbr,Niederarnsdorf
706nbr,Wolperndorf
707nbr,Ziegelheim
708nbr,Wiesebach
709nbr,Grunau
710nbr,Hohenlauft
711nbr,Littdorf
712nbr,Mahlitzsch
713nbr,Niederstriegis
714nbr,Otzdorf
715nbr,Balditz
716nbr,Goddula
717nbr,Goddula-Siedlung
718nbr,Kirchfährendorf
719nbr,Lennewitz
720nbr,Ostrau
721nbr,Vesta
722nbr,Wadewitz
723nbr,Wittgendorf
724nbr,Bernsdorf
725nbr,Birkenheide
726nbr,Braunsdorf
727nbr,Dittersdorf
728nbr,Dittrichshütte
729nbr,Eyba
730nbr,Jehmichen
731nbr,Kleingeschwenda
732nbr,Knobelsdorf
733nbr,Lositz
734nbr,Reschwitz
735nbr,Unterwirbach
736nbr,Volkmannsdorf
737nbr,Wickersdorf
738nbr,Wittmannsgereuth
739nbr,Witzendorf
740nbr,Kamsdorf
741nbr,Kol. Waldfrieden
742nbr,Radebrück
743nbr,Erkner
744nbr,Hohenbinde
745nbr,Land
746nbr,Neubrück
747nbr,Biendorf
748nbr,Wischuer
749nbr,Parchow
750nbr,Körchow
751nbr,Büttelkow
752nbr,Westenbrügge
753nbr,Uhlenbrook
754nbr,Sandhagen Abbau
755nbr,Sandhagen
756nbr,Dorf Jörnstorf
757nbr,Hof Jörnstorf
758nbr,Lehnenhof
759nbr,Holdorf
760nbr,Gustävel
761nbr,Kuhlen
762nbr,Holzendorf
763nbr,Nutteln
764nbr,Müsselmow
765nbr,Weberin
766nbr,Tessin
767nbr,Zaschendorf
768nbr,Wendorf
769nbr,Süderbrarup
770nbr,Dollrottfeld
771nbr,Brebel
772nbr,Esgrus
773nbr,Röhrmoos
774nbr,Holzkoppel
775nbr,Bülitz
776nbr,Grassau
777nbr,Grünenwulsch
778nbr,Darnewitz
779nbr,Kläden
780nbr,Querstedt
781nbr,Deetz
782nbr,Belkau
783nbr,Schernikau
784nbr,Käthen
785nbr,Bahnhof Vinzelberg
786nbr,Schönfeld
787nbr,Steinfeld
